County_State_Key,County,State,Population_2023,Median_HH_Income_2023,Store_Count
Kusilvak|Alaska,Kusilvak,Alaska,8277.0,48233.0,0
Lake And Peninsula|Alaska,Lake And Peninsula,Alaska,1007.0,64000.0,0
Matanuska-Susitna|Alaska,Matanuska-Susitna,Alaska,110677.0,90625.0,1
Nome|Alaska,Nome,Alaska,9925.0,76643.0,0
North Slope|Alaska,North Slope,Alaska,10891.0,86313.0,0
Northwest Arctic|Alaska,Northwest Arctic,Alaska,7611.0,81298.0,0
Petersburg|Alaska,Petersburg,Alaska,3394.0,77026.0,0
Prince Of Wales-Hyder|Alaska,Prince Of Wales-Hyder,Alaska,5730.0,59079.0,0
Sitka  And|Alaska,Sitka  And,Alaska,8393.0,101207.0,0
Skagway|Alaska,Skagway,Alaska,1308.0,78594.0,0
Southeast Fairbanks|Alaska,Southeast Fairbanks,Alaska,6936.0,74223.0,0
Wrangell  And|Alaska,Wrangell  And,Alaska,2106.0,64545.0,0
Yakutat  And|Alaska,Yakutat  And,Alaska,506.0,80625.0,0
Yukon-Koyukuk|Alaska,Yukon-Koyukuk,Alaska,5271.0,52642.0,0
Apache|Arizona,Apache,Arizona,65680.0,40338.0,0
Cochise|Arizona,Cochise,Arizona,125458.0,58970.0,1
Coconino|Arizona,Coconino,Arizona,144643.0,69748.0,1
Gila|Arizona,Gila,Arizona,53610.0,59089.0,0
Graham|Arizona,Graham,Arizona,38860.0,67326.0,0
Greenlee|Arizona,Greenlee,Arizona,9452.0,75239.0,0
La Paz|Arizona,La Paz,Arizona,16605.0,49506.0,0
Maricopa|Arizona,Maricopa,Arizona,4491987.0,85518.0,34
Mohave|Arizona,Mohave,Arizona,217420.0,55799.0,1
Navajo|Arizona,Navajo,Arizona,107744.0,52752.0,0
Pima|Arizona,Pima,Arizona,1049947.0,67929.0,8
Pinal|Arizona,Pinal,Arizona,449219.0,77588.0,0
Santa Cruz|Arizona,Santa Cruz,Arizona,48209.0,53614.0,0
Yavapai|Arizona,Yavapai,Arizona,241656.0,66106.0,1
Yuma|Arizona,Yuma,Arizona,207685.0,60417.0,1
Arkansas|Arkansas,Arkansas,Arkansas,16773.0,60831.0,0
Ashley|Arkansas,Ashley,Arkansas,18722.0,44481.0,0
Baxter|Arkansas,Baxter,Arkansas,42150.0,48427.0,0
Benton|Arkansas,Benton,Arkansas,294541.0,89879.0,1
Boone|Arkansas,Boone,Arkansas,37896.0,54195.0,0
Bradley|Arkansas,Bradley,Arkansas,10354.0,39565.0,0
Calhoun|Arkansas,Calhoun,Arkansas,4717.0,63654.0,0
Carroll|Arkansas,Carroll,Arkansas,28526.0,55187.0,0
Chicot|Arkansas,Chicot,Arkansas,9997.0,39683.0,0
Clark|Arkansas,Clark,Arkansas,21378.0,50985.0,0
Clay|Arkansas,Clay,Arkansas,14399.0,48500.0,0
Cleburne|Arkansas,Cleburne,Arkansas,25048.0,55979.0,0
Cleveland|Arkansas,Cleveland,Arkansas,7491.0,50509.0,0
Columbia|Arkansas,Columbia,Arkansas,22527.0,47363.0,0
Conway|Arkansas,Conway,Arkansas,20872.0,51212.0,0
Craighead|Arkansas,Craighead,Arkansas,112097.0,57615.0,1
Crawford|Arkansas,Crawford,Arkansas,60792.0,60362.0,0
Crittenden|Arkansas,Crittenden,Arkansas,47609.0,54271.0,0
Cross|Arkansas,Cross,Arkansas,16681.0,47012.0,0
Dallas|Arkansas,Dallas,Arkansas,6351.0,44694.0,0
Desha|Arkansas,Desha,Arkansas,11041.0,36064.0,0
Drew|Arkansas,Drew,Arkansas,17143.0,41071.0,0
Faulkner|Arkansas,Faulkner,Arkansas,126001.0,65071.0,1
Franklin|Arkansas,Franklin,Arkansas,17220.0,51919.0,0
Fulton|Arkansas,Fulton,Arkansas,12239.0,38941.0,0
Garland|Arkansas,Garland,Arkansas,100062.0,55409.0,0
Grant|Arkansas,Grant,Arkansas,18111.0,72512.0,0
Greene|Arkansas,Greene,Arkansas,46182.0,56793.0,0
Hempstead|Arkansas,Hempstead,Arkansas,19778.0,47654.0,0
Hot Spring|Arkansas,Hot Spring,Arkansas,33142.0,52644.0,0
Howard|Arkansas,Howard,Arkansas,12701.0,44492.0,0
Independence|Arkansas,Independence,Arkansas,38120.0,56009.0,0
Izard|Arkansas,Izard,Arkansas,13866.0,47728.0,0
Jackson|Arkansas,Jackson,Arkansas,16775.0,41215.0,0
Jefferson|Arkansas,Jefferson,Arkansas,65780.0,48552.0,0
Johnson|Arkansas,Johnson,Arkansas,25932.0,44808.0,0
Lafayette|Arkansas,Lafayette,Arkansas,6211.0,37237.0,0
Lawrence|Arkansas,Lawrence,Arkansas,16265.0,44164.0,0
Lee|Arkansas,Lee,Arkansas,8511.0,36860.0,0
Lincoln|Arkansas,Lincoln,Arkansas,12966.0,51667.0,0
Little River|Arkansas,Little River,Arkansas,11959.0,52241.0,0
Logan|Arkansas,Logan,Arkansas,21240.0,54237.0,0
Lonoke|Arkansas,Lonoke,Arkansas,74747.0,71449.0,0
Madison|Arkansas,Madison,Arkansas,17032.0,53888.0,0
Marion|Arkansas,Marion,Arkansas,17076.0,46953.0,0
Miller|Arkansas,Miller,Arkansas,42588.0,49983.0,0
Mississippi|Arkansas,Mississippi,Arkansas,39749.0,53428.0,0
Monroe|Arkansas,Monroe,Arkansas,6681.0,43955.0,0
Montgomery|Arkansas,Montgomery,Arkansas,8571.0,49015.0,0
Nevada|Arkansas,Nevada,Arkansas,8228.0,41761.0,0
Newton|Arkansas,Newton,Arkansas,7175.0,47395.0,0
Ouachita|Arkansas,Ouachita,Arkansas,22317.0,49838.0,0
Perry|Arkansas,Perry,Arkansas,10073.0,60078.0,0
Phillips|Arkansas,Phillips,Arkansas,15910.0,38874.0,0
Pike|Arkansas,Pike,Arkansas,10182.0,51000.0,0
Poinsett|Arkansas,Poinsett,Arkansas,22740.0,47188.0,0
Polk|Arkansas,Polk,Arkansas,19348.0,49252.0,0
Pope|Arkansas,Pope,Arkansas,63830.0,54606.0,0
Prairie|Arkansas,Prairie,Arkansas,8162.0,51094.0,0
Pulaski|Arkansas,Pulaski,Arkansas,398949.0,60385.0,3
Randolph|Arkansas,Randolph,Arkansas,18733.0,52838.0,0
