Address,City,County,State,Latitude,Longitude,Population_Total,Median_Income
1363 W Henderson Ave,Porterville,Tulare,CA,36.078663,-119.046714,475774.0,142026.0
11990 LOS OSOS VALLEY RD,San Luis Obispo,San Luis Obispo,CA,35.252332,-120.685356,281486.0,108897.0
9100 Rosedale Hwy,Bakersfield,Kern,CA,35.385275,-119.102815,910433.0,281416.0
11000 Stockdale Hwy,Bakersfield,Kern,CA,35.349978,-119.124641,910433.0,281416.0
223 E Betteravia Rd,Santa Maria,Santa Barbara,CA,34.922576,-120.434178,443975.0,148960.0
3401 Mall View Rd,Bakersfield,Kern,CA,35.393662,-118.955545,910433.0,281416.0
2901 Ming Ave,Bakersfield,Kern,CA,35.336984,-119.036604,910433.0,281416.0
2525 4th St,Eureka,Humboldt,CA,40.805908,-124.144757,135418.0,54878.0
2000 Crater Lake Hwy,Medford,Jackson,OR,42.347395,-122.878198,222563.0,90679.0
63435 N Highway 97,Bend,Deschutes,OR,44.103817,-121.300516,203026.0,83197.0
2750 Gateway St,Springfield,Lane,OR,44.071789,-123.045335,382628.0,159509.0
4575 W 11th Ave,Eugene,Lane,OR,44.049357,-123.170785,382628.0,159509.0
11133 Balboa Blvd,Granada Hills,Los Angeles,CA,34.273338,-118.502939,9848406.0,3390254.0
20801 Ventura Blvd,Woodland Hills,Los Angeles,CA,34.167086,-118.585573,9848406.0,3390254.0
8840 Corbin Ave,Northridge,Los Angeles,CA,34.230802,-118.560808,9848406.0,3390254.0
19105 Golden Valley Rd,Santa Clarita,Los Angeles,CA,34.394179,-118.464932,9848406.0,3390254.0
6700 Topanga Canyon Blvd,Canoga Park,Los Angeles,CA,34.191643,-118.602899,9848406.0,3390254.0
6635 Fallbrook Ave,West Hills,Los Angeles,CA,34.190907,-118.626444,9848406.0,3390254.0
24425 Magic Mountain Pkwy,Valencia,Los Angeles,CA,34.42068,-118.561229,9848406.0,3390254.0
30740 Russell Ranch Rd,Westlake Village,Los Angeles,CA,34.148119,-118.793939,9848406.0,3390254.0
2907 Cochran St,Simi Valley,Ventura,CA,34.280264,-118.739242,838259.0,278045.0
51 Tierra Rejada Rd,Simi Valley,Ventura,CA,34.273194,-118.797049,838259.0,278045.0
800 New Los Angeles Ave,Moorpark,Ventura,CA,34.278757,-118.867755,838259.0,278045.0
2705 Teller Rd,Thousand Oaks,Ventura,CA,34.191352,-118.934642,838259.0,278045.0
209 W Ventura Blvd,Camarillo,Ventura,CA,34.217239,-119.073129,838259.0,278045.0
2850 N OXNARD BLVD,Oxnard,Ventura,CA,34.242389,-119.178012,838259.0,278045.0
4200 E Main St,Ventura,Ventura,CA,34.261914,-119.237025,838259.0,278045.0
245 S Mills Rd,Ventura,Ventura,CA,34.270494,-119.249133,838259.0,278045.0
2939 Market Pl,Salina,Saline,KS,38.784452,-97.609537,53801.0,22299.0
4800 3rd Ave,Kearney,Buffalo,NE,40.722419,-99.08564,50323.0,19662.0
2401 E Kansas Ave,Garden City,Finney,KS,37.979676,-100.843476,38001.0,13198.0
8201 S 40th St,Lincoln,Lancaster,NE,40.728421,-96.66528,323673.0,132162.0
5330 S 56th St,Lincoln,Lancaster,NE,40.759505,-96.641294,323673.0,132162.0
333 N 48th St,Lincoln,Lancaster,NE,40.816087,-96.654904,323673.0,132162.0
17810 W Center Rd,Omaha,Douglas,NE,41.235967,-96.193936,585461.0,235080.0
12500 K Plaza,Omaha,Douglas,NE,41.214297,-96.108691,585461.0,235080.0
16959 Evans Plaza,Omaha,Douglas,NE,41.289685,-96.179389,585461.0,235080.0
718 N Washington St,Papillion,Sarpy,NE,41.165532,-96.044683,194051.0,72661.0
1510 Market Ln,Norfolk,Madison,NE,42.020273,-97.430513,35535.0,14152.0
3808 Twin Creek Dr,Bellevue,Sarpy,NE,41.142081,-95.970308,194051.0,72661.0
4001 N 132nd St,Omaha,Douglas,NE,41.294429,-96.116794,585461.0,235080.0
7200 Dodge St,Omaha,Douglas,NE,41.260872,-96.025386,585461.0,235080.0
6636 N 73rd Plz,Omaha,Douglas,NE,41.318745,-96.026913,585461.0,235080.0
3804 Metro Dr,Council Bluffs,Pottawattamie,IA,41.220723,-95.838976,93407.0,37531.0
5775 Sunnybrook Dr,Sioux City,Woodbury,IA,42.448827,-96.333291,105760.0,40503.0
2255 14th Ave SE,Albany,Linn,OR,44.630034,-123.078597,129794.0,50534.0
3790 Center St NE,Salem,Marion,OR,44.938881,-122.986751,346532.0,125413.0
6450 Keizer Station Blvd NE,Keizer,Marion,OR,45.012261,-122.995054,346532.0,125413.0
3300 Dillon Dr,Pueblo,Pueblo,CO,38.303164,-104.606076,168726.0,67816.0
1630 E Cheyenne Mountain Blvd,Colorado Springs,El Paso,CO,38.792999,-104.801542,736008.0,283174.0
3810 Bloomington St,Colorado Springs,El Paso,CO,38.888207,-104.717715,736008.0,283174.0
5240 N Academy Blvd,Colorado Springs,El Paso,CO,38.905204,-104.78007,736008.0,283174.0
9670 Prominent Pt,Colorado Springs,El Paso,CO,38.973382,-104.745874,736008.0,283174.0
5010 Founders Pkwy,Castle Rock,Douglas,CO,39.408366,-104.856589,368283.0,136130.0
11150 S Twenty Mile Rd,Parker,Douglas,CO,39.513087,-104.771791,368283.0,136130.0
10001 Commons St,Lone Tree,Douglas,CO,39.53487,-104.883653,368283.0,136130.0
1265 Sgt Jon Stiles Dr,Highlands Ranch,Douglas,CO,39.549552,-105.005107,368283.0,136130.0
1950 E County Line Rd,Highlands Ranch,Douglas,CO,39.565063,-104.965672,368283.0,136130.0
7400 S Gartrell Rd,Aurora,Arapahoe,CO,39.581773,-104.721865,655709.0,253890.0
6767 S Clinton St,Englewood,Arapahoe,CO,39.593371,-104.88155,655709.0,253890.0
15700 E Briarwood Cir,Aurora,Arapahoe,CO,39.592002,-104.804946,655709.0,253890.0
9390 W Cross Dr,Littleton,Jefferson,CO,39.610423,-105.101073,579715.0,240031.0
16910 E Quincy Ave,Aurora,Arapahoe,CO,39.636674,-104.789979,655709.0,253890.0
3650 Riverpoint Pkwy,Sheridan,Arapahoe,CO,39.649625,-105.005927,655709.0,253890.0
7777 E Hampden Ave,Denver,Denver,CO,39.655327,-104.900255,713734.0,329578.0
1400 S Havana St,Aurora,Arapahoe,CO,39.691569,-104.863636,655709.0,253890.0
4301 E Virginia Ave,Glendale,Arapahoe,CO,39.708204,-104.937705,655709.0,253890.0
460 S Vance St,Lakewood,Jefferson,CO,39.708369,-105.079511,579715.0,240031.0
14200 E Ellsworth Ave,Aurora,Arapahoe,CO,39.715366,-104.821198,655709.0,253890.0
14500 W Colfax Ave Unit B1,Lakewood,Jefferson,CO,39.733793,-105.157724,579715.0,240031.0
1985 Sheridan Blvd,Edgewater,Jefferson,CO,39.746722,-105.055446,579715.0,240031.0
7930 Northfield Blvd,Denver,Denver,CO,39.783916,-104.894929,713734.0,329578.0
5071 Kipling St,Wheat Ridge,Jefferson,CO,39.788605,-105.112381,579715.0,240031.0
