Address,City,County,State,Latitude,Longitude,Population_Total,Median_Income
204 Saratoga Rd,Schenectady,Schenectady,NY,42.866616,-73.930923,159603.0,66324.0
155 Pocono Commons,Stroudsburg,Monroe,PA,40.996433,-75.244833,167784.0,60562.0
221 University Ave,Westwood,Norfolk,MA,42.2045,-71.1553,724540.0,281408.0
46 Ash Brook Rd,Keene,Cheshire,NH,42.928188,-72.301906,76945.0,30519.0
1204 New Brunswick Ave,Phillipsburg,Warren,NJ,40.673576,-75.134524,110238.0,44943.0
1 Hawes Way,Stoughton,Norfolk,MA,42.152383,-71.073541,724540.0,281408.0
4165 Washington St,Roslindale,Suffolk,MA,42.2882972,-71.1267483,782172.0,322184.0
550 Arsenal St,Watertown,Middlesex,MA,42.364178,-71.156462,1622896.0,630939.0
250 Granite St,Braintree,Norfolk,MA,42.22142,-71.021844,724540.0,281408.0
860 COMMONWEALTH AVE,Boston,Norfolk,MA,42.350679,-71.114022,724540.0,281408.0
385 Centre Ave,Abington,Plymouth,MA,42.110519,-70.927683,531889.0,200995.0
1341 BOYLSTON ST,Boston,Suffolk,MA,42.344172,-71.099961,782172.0,322184.0
3835 Dryland Way,Easton,Northampton,PA,40.712682,-75.28814,315927.0,121496.0
564 Massachusetts Ave,Cambridge,Middlesex,MA,42.364561,-71.102575,1622896.0,630939.0
7 Allstate Rd,Dorchester,Suffolk,MA,42.328872,-71.062845,782172.0,322184.0
2331 E Lincoln Hwy,Langhorne,Bucks,PA,40.176502,-74.878432,645993.0,247674.0
2421 Cranberry Hwy,Wareham,Plymouth,MA,41.773672,-70.745562,531889.0,200995.0
180 Somerville Ave,Somerville,Middlesex,MA,42.376695,-71.090028,1622896.0,630939.0
100 Amsterdam Commons,Amsterdam,Montgomery,NY,42.965271,-74.190215,49461.0,19234.0
3031 Route 50,Saratoga Springs,Saratoga,NY,43.099397,-73.743829,237075.0,99835.0
310 Daniel Webster Hwy,Nashua,Hillsborough,NH,42.702771,-71.437791,424732.0,167732.0
1 Mystic View Rd,Everett,Middlesex,MA,42.399035,-71.071855,1622896.0,630939.0
181 Plain St,Lowell,Middlesex,MA,42.623622,-71.318304,1622896.0,630939.0
1167 Washington St,Hanover,Plymouth,MA,42.137401,-70.83883,531889.0,200995.0
600 Amherst St,Nashua,Hillsborough,NH,42.79899,-71.53679,424732.0,167732.0
2703 Route 541,Burlington,Burlington,NJ,40.036142,-74.822986,464226.0,176046.0
101 Commerce Way,Woburn,Middlesex,MA,42.518609,-71.135461,1622896.0,630939.0
113 Main St,Stoneham,Middlesex,MA,42.494932,-71.103401,1622896.0,630939.0
800 Rock Hill Dr,Bensalem,Bucks,PA,40.135718,-74.961605,645993.0,247674.0
101 Independence Mall Way,Kingston,Plymouth,MA,41.971125,-70.716858,531889.0,200995.0
36 Furlong Dr,Revere,Suffolk,MA,42.39976,-71.000326,782172.0,322184.0
209 Stafford Park Blvd,Manahawkin,Ocean,NJ,39.710389,-74.28476,646434.0,241521.0
210 Ballardvale St,Wilmington,Middlesex,MA,42.589718,-71.159895,1622896.0,630939.0
400 Lynn Fells Pkwy,Saugus,Essex,MA,42.481583,-71.024154,807258.0,311676.0
912 Airport Center Dr,Allentown,Lehigh,PA,40.639111,-75.439607,375408.0,143445.0
401 Easton Rd,Warrington,Bucks,PA,40.224163,-75.137097,645993.0,247674.0
11000 Roosevelt Blvd Ste 3,Philadelphia,Philadelphia,PA,40.101882,-75.010845,1582432.0,669222.0
1140 Commerce Blvd,Dickson City,Lackawanna,PA,41.46711,-75.639079,215834.0,88266.0
610 N West End Blvd,Quakertown,Bucks,PA,40.459124,-75.372737,645993.0,247674.0
4004 Rte 130 N,Delran,Burlington,NJ,40.012534,-74.958721,464226.0,176046.0
4 Centerton Rd,Mount Laurel,Burlington,NJ,39.968399,-74.914433,464226.0,176046.0
1495 Old York Rd,Abington,Montgomery,PA,40.124819,-75.116154,861225.0,333514.0
227 Highland Ave,Salem,Essex,MA,42.503468,-70.919421,807258.0,311676.0
203 S Broadway,Salem,Rockingham,NH,42.764475,-71.215039,317163.0,126588.0
7400 Bustleton Ave,Philadelphia,Philadelphia,PA,40.051333,-75.058631,1582432.0,669222.0
125 Witchwood Dr,North Wales,Montgomery,PA,40.224426,-75.239573,861225.0,333514.0
220 S River Rd,Bedford,Hillsborough,NH,42.941002,-71.473513,424732.0,167732.0
67 Pleasant Valley St,Methuen,Essex,MA,42.740784,-71.161323,807258.0,311676.0
1600 N Cedar Crest Blvd,Allentown,Lehigh,PA,40.612714,-75.535035,375408.0,143445.0
240 Independence Way,Danvers,Essex,MA,42.552616,-70.937616,807258.0,311676.0
2450 Shoppers Ln,Wyncote,PA - Pennsylvania,PA,40.076229,-75.155305,,
749 N KROCKS RD,ALLENTOWN,Lehigh,PA,40.566187,-75.560862,375408.0,143445.0
578 Aviation Rd,Queensbury,Warren,NY,43.327893,-73.678541,65560.0,30041.0
751 Route 73 S,Marlton,Burlington,NJ,39.866973,-74.922641,464226.0,176046.0
2701 Castor Ave,Philadelphia,Philadelphia,PA,39.991215,-75.089745,1582432.0,669222.0
2137 Route 38,Cherry Hill,Camden,NJ,39.934744,-75.024516,524042.0,200569.0
35 Computer Dr,Haverhill,Essex,MA,42.788072,-71.115959,807258.0,311676.0
1139 White Horse Rd,Voorhees,Camden,NJ,39.851042,-74.983926,524042.0,200569.0
100 Quality Dr,Hooksett,Merrimack,NH,43.045615,-71.461202,155018.0,60445.0
3400 Wilkes-Barre Township Commons,Wilkes-Barre Township,Luzerne,PA,41.237784,-75.844602,325978.0,133434.0
7162 Ridge Ave,Philadelphia,Philadelphia,PA,40.044429,-75.232731,1582432.0,669222.0
2250 Chemical Rd,Plymouth Meeting,Montgomery,PA,40.104859,-75.296082,861225.0,333514.0
4000 Monument Rd,Philadelphia,Philadelphia,PA,40.006086,-75.212145,1582432.0,669222.0
2001 Pennsylvania Ave,Philadelphia,Philadelphia,PA,39.96163,-75.172693,1582432.0,669222.0
1128 CHESTNUT ST,Philadelphia,Philadelphia,PA,39.950275,-75.159817,1582432.0,669222.0
1900 CHESTNUT ST,Philadelphia,Philadelphia,PA,39.95179,-75.17206,1582432.0,669222.0
1 Mifflin St,Philadelphia,Philadelphia,PA,39.923772,-75.145899,1582432.0,669222.0
160 W Dekalb Pike,King of Prussia,Montgomery,PA,40.09495,-75.365521,861225.0,333514.0
1900 Deptford Center Rd,Deptford,Gloucester,NJ,39.82943,-75.091781,304504.0,111796.0
1824 E Ridge Pike,Royersford,Montgomery,PA,40.211011,-75.497971,861225.0,333514.0
487 Cross Keys Rd,Sicklerville,Camden,NJ,39.747347,-74.994064,524042.0,200569.0
200 Mill Road,Phoenixville,Montgomery,PA,40.130591,-75.453136,861225.0,333514.0
4001 Black Horse Pike,Turnersville,Gloucester,NJ,39.733466,-75.039622,304504.0,111796.0
80 Damante Dr,Concord,Merrimack,NH,43.2189,-71.485199,155018.0,60445.0
675 Woodbury Glassboro Rd,Sewell,Gloucester,NJ,39.764985,-75.132122,304504.0,111796.0
100 Upland Square Dr,Pottstown,Montgomery,PA,40.269058,-75.656297,861225.0,333514.0
857 Baltimore Pike,Springfield,Delaware,PA,39.915528,-75.334492,576195.0,216660.0
380 Consumer Sq,Mays Landing,Atlantic,NJ,39.451831,-74.633592,274704.0,108712.0
1200 Baltimore Pike,Springfield,Delaware,PA,39.914902,-75.350763,576195.0,216660.0
455 Carnegie Blvd,Malvern,Chester,PA,40.049365,-75.520028,540896.0,202405.0
3112 Vestal Pkwy E,Vestal,Broome,NY,42.094186,-76.001181,197738.0,81781.0
201 Sunrise Blvd,Exton,Chester,PA,40.039407,-75.62947,540896.0,202405.0
4599 Perkiomen Ave,Reading,Berks,PA,40.308325,-75.859418,429989.0,161701.0
180 Eagleview Blvd,Exton,Chester,PA,40.05259,-75.665338,540896.0,202405.0
4220 N 5th Street Hwy,Temple,Berks,PA,40.397293,-75.928869,429989.0,161701.0
600 Hatton Dr,Glen Mills,Delaware,PA,39.88078,-75.527971,576195.0,216660.0
1450 Greenland Rd,Greenland,Rockingham,NH,43.048951,-70.818587,317163.0,126588.0
1 Sangertown Sq Ste 3,New Hartford,Oneida,NY,43.083646,-75.315158,229645.0,94361.0
1050 Brandywine Pkwy,Wilmington,New Castle,DE,39.83067,-75.540736,573030.0,222943.0
2769 Papermill Rd,Wyomissing,Berks,PA,40.359436,-75.983374,429989.0,161701.0
2100 N 2nd St,Millville,Cumberland,NJ,39.420673,-75.040967,152915.0,53341.0
11 Andrews Rd,Somersworth,Strafford,NH,43.235048,-70.884519,131743.0,51684.0
800 Christiana Mall,Newark,New Castle,DE,39.67894,-75.649576,573030.0,222943.0
2385 Covered Bridge Dr,Lancaster,Lancaster,PA,40.026216,-76.203447,555151.0,210536.0
960 Lititz Pike,Lititz,Lancaster,PA,40.132429,-76.307023,555151.0,210536.0
340 Towne Dr,Fayetteville,Onondaga,NY,43.031849,-76.019782,471611.0,194963.0
1589 Fruitville Pike,Lancaster,Lancaster,PA,40.068111,-76.311442,555151.0,210536.0
40 Catherwood Rd,Ithaca,Tompkins,NY,42.484933,-76.490598,102879.0,43269.0
170 S Lycoming Mall Rd,Muncy,Lycoming,PA,41.2438,-76.8352,113570.0,46201.0
430 Mariner Way,Biddeford,York,ME,43.474001,-70.51413,214731.0,90250.0
148 John Hunn Brown Rd,Dover,Kent,DE,39.159345,-75.511066,185043.0,70053.0
501 Market Place Blvd,Selinsgrove,Snyder,PA,40.842348,-76.837848,39711.0,14549.0
3657 W Genesee St,Syracuse,Onondaga,NY,43.047055,-76.236152,471611.0,194963.0
8061 Brewerton Rd,Cicero,Onondaga,NY,43.161815,-76.122579,471611.0,194963.0
930 County Rd 64,Elmira,Chemung,NY,42.152921,-76.873337,82805.0,34916.0
1025 Middleton Rd,Aberdeen,Harford,MD,39.521077,-76.17799,262509.0,100271.0
3857 State Route 31,Liverpool,Onondaga,NY,43.187797,-76.247107,471611.0,194963.0
5125 Jonestown Rd Ste 331,Harrisburg,Dauphin,PA,40.308926,-76.796429,287484.0,119763.0
4600 High Pointe Blvd,Harrisburg,Dauphin,PA,40.246129,-76.806682,287484.0,119763.0
200 Running Hill Rd,South Portland,Cumberland,ME,43.634242,-70.347774,305940.0,130003.0
2610 Pleasant Valley Rd,York,York,PA,39.987156,-76.68029,459312.0,180207.0
580 Marketplace Dr,Bel Air,Harford,MD,39.525112,-76.350472,262509.0,100271.0
403 Constant Friendship Blvd,Abingdon,Harford,MD,39.460233,-76.316308,262509.0,100271.0
2251 York Crossing Dr,York,York,PA,39.965157,-76.778147,459312.0,180207.0
6416 Carlisle Pike,Mechanicsburg,Cumberland,PA,40.250051,-77.010734,264422.0,105187.0
5230 Campbell Blvd,Nottingham,Baltimore,MD,39.370616,-76.451532,849586.0,330151.0
1330 Martin Blvd,Middle River,Baltimore,MD,39.334698,-76.448058,849586.0,330151.0
246 Westminster Dr,Carlisle,Cumberland,PA,40.195509,-77.157597,264422.0,105187.0
9901 York Rd,Cockeysville,Baltimore,MD,39.461851,-76.634099,849586.0,330151.0
1238 Putty Hill Ave,Towson,Baltimore,MD,39.394738,-76.582217,849586.0,330151.0
31 WILSON AVE,Hanover,York,PA,39.82736,-76.998255,459312.0,180207.0
3559 Boston Street,Baltimore,Baltimore City,MD,39.275284,-76.565947,577193.0,250608.0
60 Smithfield Blvd,Plattsburgh,Clinton,NY,44.702338,-73.491875,78961.0,33276.0
21800 Towne Center Dr,Watertown,Jefferson,NY,43.971677,-75.960495,116130.0,46701.0
1737 Reisterstown Rd,Pikesville,Baltimore,MD,39.384743,-76.73146,849586.0,330151.0
11200 Reisterstown Rd,Owings Mills,Baltimore,MD,39.433405,-76.799203,849586.0,330151.0
200 Malcolm Dr,Westminster,Carroll,MD,39.566736,-76.974265,174318.0,63487.0
125 Topsham Fair Mall Rd,Topsham,Sagadahoc,ME,43.934038,-69.985271,37093.0,16175.0
119 Crossing Way,Augusta,Kennebec,ME,44.312403,-69.804993,125614.0,53936.0
7500 Commons Blvd,Victor,Ontario,NY,43.033533,-77.448691,112405.0,47684.0
2161 N Nine Mile Point Rd,Fairport,Monroe,NY,43.128391,-77.443196,754068.0,316506.0
1050 Ridge Rd,Webster,Monroe,NY,43.211404,-77.451215,754068.0,316506.0
500 Medley Centre Pkwy,Rochester,Monroe,NY,43.198015,-77.573885,754068.0,316506.0
2325 Marketplace Dr,Rochester,Monroe,NY,43.078449,-77.63205,754068.0,316506.0
600 Greece Ridge Center Dr,Rochester,Monroe,NY,43.2024,-77.692925,754068.0,316506.0
3181 Chili Ave,Rochester,Monroe,NY,43.104625,-77.74614,754068.0,316506.0
6717 Ritchie Hwy,Glen Burnie,Anne Arundel,MD,39.189988,-76.610587,590936.0,223602.0
7951 Nolpark Ct,Glen Burnie,Anne Arundel,MD,39.133067,-76.634601,590936.0,223602.0
28539 Marlboro Ave,Easton,Talbot,MD,38.7822,-76.0864,37707.0,16211.0
1911 Towne Centre Blvd,Annapolis,Anne Arundel,MD,38.97988,-76.541035,590936.0,223602.0
4390 Montgomery Rd,Ellicott City,Howard,MD,39.250575,-76.817265,333916.0,120066.0
6111 Dobbin Rd,Columbia,Howard,MD,39.196971,-76.813483,333916.0,120066.0
2384 BRANDERMILL BLVD,Gambrills,Anne Arundel,MD,39.0341,-76.684,590936.0,223602.0
3343 Corridor Marketplace,Laurel,Anne Arundel,MD,39.096991,-76.809663,590936.0,223602.0
4600 Mitchellville Rd,Bowie,Prince George's,MD,38.952326,-76.722322,955584.0,344586.0
10401 Martin Luther King Jr Hwy,Bowie,Prince George's,MD,38.953917,-76.824625,955584.0,344586.0
6100 Greenbelt Rd,Greenbelt,Prince George's,MD,38.998652,-76.906711,955584.0,344586.0
12000 Cherry Hill Rd,Silver Spring,Montgomery,MD,39.052045,-76.95646,1057586.0,387881.0
10500 Campus Way S,Upper Marlboro,Prince George's,MD,38.896156,-76.826762,955584.0,344586.0
125 E North Pointe Dr,Salisbury,Wicomico,MD,38.415965,-75.560247,104117.0,40034.0
7501 Baltimore Ave,College Park,Prince George's,MD,38.982252,-76.937615,955584.0,344586.0
3500 East West Hwy Ste 1200,Hyattsville,Prince George's,MD,38.968075,-76.955453,955584.0,344586.0
11160 Veirs Mill Rd,Silver Spring,Montgomery,MD,39.036286,-77.05633,1057586.0,387881.0
3101 Donnell Dr,District Heights,Prince George's,MD,38.848636,-76.886439,955584.0,344586.0
5700 Bou Ave,Rockville,Montgomery,MD,39.056591,-77.114947,1057586.0,387881.0
3100 14th St NW,Washington,District of Columbia,DC,38.929275,-77.032746,672079.0,321556.0
20908 Frederick Rd,Germantown,Montgomery,MD,39.198922,-77.248722,1057586.0,387881.0
6831 Wisconsin Ave,Bethesda,Montgomery,MD,38.978419,-77.090702,1057586.0,387881.0
25 Grand Corner Ave,Gaithersburg,Montgomery,MD,39.118834,-77.20236,1057586.0,387881.0
1500 Wilson Blvd,Rosslyn,Arlington,VA,38.8946,-77.0743,235463.0,111530.0
5437 Urbana Pike,Frederick,Frederick,MD,39.38227,-77.397979,280341.0,101807.0
3101 Jefferson Davis Hwy,Alexandria,Alexandria,VA,38.833904,-77.050005,,
15922 Crain Hwy SE,Brandywine,Prince George's,MD,38.672451,-76.873173,955584.0,344586.0
5115 Leesburg Pike,Falls Church,Fairfax,VA,38.844672,-77.118418,1144474.0,412663.0
6100 Arlington Blvd,Falls Church,Fairfax,VA,38.868047,-77.142045,1144474.0,412663.0
500 S. Washington St,Falls Church,Fairfax,VA,38.879821,-77.176845,1144474.0,412663.0
6600 Richmond Hwy,Alexandria,Fairfax,VA,38.776005,-77.082404,1144474.0,412663.0
3300 Western Pkwy,Waldorf,Charles,MD,38.621217,-76.922799,168710.0,60199.0
2905 District Ave S,Fairfax,Fairfax,VA,38.872567,-77.229434,1144474.0,412663.0
913 Norland Ave,Chambersburg,Franklin,PA,39.941493,-77.627834,156626.0,63028.0
6600 Springfield Mall,Springfield,Fairfax,VA,38.775617,-77.173564,1144474.0,412663.0
46201 Potomac Run Plz,Sterling,Loudoun,VA,39.026292,-77.40061,427082.0,140823.0
12197 Sunset Hills Rd,Reston,Fairfax,VA,38.95471,-77.369927,1144474.0,412663.0
45130 Columbia Pl,Sterling,Loudoun,VA,39.009216,-77.439655,427082.0,140823.0
45155 First Colony Way,California,St. Mary's,MD,38.297683,-76.513826,114372.0,41743.0
60 Shining Willow Way,La Plata,Charles,MD,38.541484,-76.982492,168710.0,60199.0
1200 Edwards Ferry Rd,Leesburg,Loudoun,VA,39.115638,-77.534723,427082.0,140823.0
10301 New Guinea Rd,Fairfax,Fairfax,VA,38.798687,-77.301682,1144474.0,412663.0
13047 Fair Lakes Shopping Ctr,Fairfax,Fairfax,VA,38.855688,-77.392918,1144474.0,412663.0
17213 Cole Rd,Hagerstown,Washington,MD,39.620301,-77.772574,155033.0,59411.0
14391 Chantilly Crossing Ln,Chantilly,Fairfax,VA,38.8952,-77.445838,1144474.0,412663.0
2460 Prince William Pkwy,Woodbridge,Prince William,VA,38.654476,-77.288786,484625.0,154609.0
4310 Fortuna Center Plz,Dumfries,Prince William,VA,38.597376,-77.33311,484625.0,154609.0
9900 Sowder Village Sq,Manassas,Prince William,VA,38.739441,-77.532044,484625.0,154609.0
13301 Gateway Center Dr,Gainesville,Prince William,VA,38.79473,-77.606751,484625.0,154609.0
436 Retail Commons Pkwy,Martinsburg,Berkeley,WV,39.437745,-77.991967,126165.0,49384.0
1090 Stafford Market Pl,Stafford,Stafford,VA,38.468742,-77.408662,160520.0,51309.0
201 W Beaver Ave,State College,Centre,PA,40.7925,-77.8618,158041.0,59006.0
315 Colonnade Blvd,State College,Centre,PA,40.812571,-77.906703,158041.0,59006.0
191 Market St,Winchester,Frederick,VA,39.221962,-78.135246,93355.0,34338.0
25 S Gateway Dr,Fredericksburg,Stafford,VA,38.3448,-77.4932,160520.0,51309.0
2340 Legge Blvd,Winchester,Winchester City,VA,39.154246,-78.16744,27981.0,11255.0
1180 Carl D Silver Pkwy,Fredericksburg,Fredericksburg City,VA,38.299852,-77.512493,28383.0,11443.0
9785 Jefferson Davis Hwy,Fredericksburg,Spotsylvania,VA,38.224917,-77.501837,143876.0,51289.0
10 Crooked Run Plaza,Front Royal,Warren,VA,38.9635,-78.1924,41104.0,15357.0
153 Sierra Dr,Altoona,Blair,PA,40.459301,-78.40602,121854.0,50548.0
15341 Montanus Dr,Culpeper,Culpeper,VA,38.48338,-77.966828,53563.0,18584.0
10100 Brook Rd,Glen Allen,Henrico,VA,37.673607,-77.462599,334434.0,135599.0
7235 Bell Creek Rd,Mechanicsville,Hanover,VA,37.600194,-77.350755,111652.0,42012.0
9001 Staples Mill Rd,Henrico,Henrico,VA,37.639008,-77.511354,334434.0,135599.0
200 Marquis Pkwy,Williamsburg,York,VA,37.258955,-76.641055,70590.0,26445.0
4521 S Laburnum Ave,Richmond,Henrico,VA,37.530964,-77.35611,334434.0,135599.0
11290 W Broad St,Glen Allen,Henrico,VA,37.65192,-77.605343,334434.0,135599.0
5401 W Broad St,Richmond,Henrico,VA,37.586919,-77.500796,334434.0,135599.0
4630 Monticello Ave,Williamsburg,James City,VA,37.27137,-76.760678,80046.0,31351.0
7107 Forest Hill Ave,Richmond,Richmond City,VA,37.535149,-77.52764,227595.0,102145.0
12130 Jefferson Ave,Newport News,Newport News City,VA,37.107827,-76.492272,184774.0,75798.0
11301 Midlothian Tpke,Richmond,Chesterfield,VA,37.504046,-77.605104,371610.0,136996.0
312 Connor Dr,Charlottesville,Albemarle,VA,38.12851,-78.440993,113683.0,45064.0
5001 Holt Ave,Hampton,Hampton City,VA,37.042442,-76.392446,137334.0,57740.0
201 Perimeter Dr,Midlothian,Chesterfield,VA,37.51178,-77.692738,371610.0,136996.0
2530 Weir Rd,Chester,Chesterfield,VA,37.350281,-77.410429,371610.0,136996.0
4601 Commonwealth Centre Pkwy,Midlothian,Chesterfield,VA,37.420887,-77.63418,371610.0,136996.0
1995 E Market St,Harrisonburg,Harrisonburg City,VA,38.425876,-78.843,51492.0,17331.0
525 First Colonial Rd,Virginia Beach,Virginia Beach City,VA,36.846717,-76.022877,457066.0,179800.0
1245 N Military Hwy,Norfolk,Norfolk City,VA,36.86527,-76.212298,235037.0,94457.0
4554 Virginia Beach Blvd,Virginia Beach,Virginia Beach City,VA,36.844625,-76.133441,457066.0,179800.0
2060 S Independence Blvd,Virginia Beach,Virginia Beach City,VA,36.788687,-76.109025,457066.0,179800.0
2233 Upton Dr,Virginia Beach,Virginia Beach City,VA,36.75582,-76.009786,457066.0,179800.0
"4200 Portsmouth Blvd, STE 600",Chesapeake,Chesapeake,VA,36.828586,-76.414423,,
1316 Greenbrier Pkwy,Chesapeake,Chesapeake,VA,36.771766,-76.231762,,
721 Southpark Blvd,Colonial Heights,Colonial Heights City,VA,37.248789,-77.386397,18210.0,7545.0
233 Carmichael Way,Chesapeake,Chesapeake,VA,36.659011,-76.234037,,
811 Town Center Dr,Waynesboro,Waynesboro City,VA,38.056309,-78.942225,22574.0,9620.0
4028 Wards Rd,Lynchburg,Lynchburg City,VA,37.346211,-79.190985,79255.0,28687.0
731 Sutters Creek Blvd,Rocky Mount,Nash,NC,35.971665,-77.813212,95451.0,38123.0
3040 S Evans St,Greenville,Pitt,NC,35.578601,-77.383195,172279.0,73404.0
716 N US Highway 441,The Villages,Lake,FL,28.933609,-81.939833,398696.0,159474.0
1440 US Hwy 1 S,Saint Augustine,St. Johns,FL,29.875513,-81.32241,292243.0,108827.0
5100 E Highway 100,Palm Coast,Flagler,FL,29.477203,-81.218432,121710.0,50296.0
17450 US Highway 441,Mount Dora,Lake,FL,28.819623,-81.667715,398696.0,159474.0
4401 Commercial Way,Spring Hill,Hernando,FL,28.495282,-82.598506,201512.0,80544.0
3101 Aerial Way,Brooksville,Hernando,FL,28.479153,-82.479327,201512.0,80544.0
2575 Enterprise Rd,Orange City,Volusia,FL,28.915839,-81.29271,568229.0,237396.0
2380 W International Speedway Blvd,Daytona Beach,Volusia,FL,29.183285,-81.079788,568229.0,237396.0
1201 WP Ball Blvd,Sanford,Seminole,FL,28.798511,-81.336468,474912.0,185396.0
2660 East Hwy 50,Clermont,Lake,FL,28.549307,-81.704866,398696.0,159474.0
4155 W Lake Mary Blvd,Lake Mary,Seminole,FL,28.754586,-81.348846,474912.0,185396.0
1771 Dunlawton Ave,Port Orange,Volusia,FL,29.110413,-81.028067,568229.0,237396.0
886 W State Road 436,Altamonte Springs,Seminole,FL,28.662944,-81.41757,474912.0,185396.0
3343 Daniels Rd,Winter Garden,Orange,FL,28.521262,-81.584843,1440471.0,508907.0
4410 S Highway 17 92,Casselberry,Seminole,FL,28.671052,-81.340451,474912.0,185396.0
820 Oviedo Mall Blvd,Oviedo,Seminole,FL,28.657927,-81.235633,474912.0,185396.0
718 Maguire Blvd,Orlando,Orange,FL,28.555243,-81.345493,1440471.0,508907.0
3770 N Goldenrod Rd,Winter Park,Orange,FL,28.595167,-81.288126,1440471.0,508907.0
2900 Little Rd,Trinity,Pasco,FL,28.201413,-82.664354,588758.0,229860.0
4750 Millenia Plaza Way,Orlando,Orange,FL,28.492932,-81.430165,1440471.0,508907.0
120 W Grant St,Orlando,Orange,FL,28.515846,-81.379469,1440471.0,508907.0
1040 Dale Mabry Hwy,Lutz,Pasco,FL,28.172888,-82.470324,588758.0,229860.0
1201 County Rd 581,Wesley Chapel,Pasco,FL,28.172833,-82.35557,588758.0,229860.0
3200 Rolling Oaks Blvd,Kissimmee,Osceola,FL,28.344167,-81.614219,406943.0,131365.0
880 Sand Lake Rd,Orlando,Orange,FL,28.449346,-81.390654,1440471.0,508907.0
325 N Alafaya Trl,Orlando,Orange,FL,28.552201,-81.202171,1440471.0,508907.0
15240 N Dale Mabry Hwy,Tampa,Hillsborough,FL,28.088613,-82.504973,1489634.0,569998.0
2155 Town Center Blvd,Orlando,Orange,FL,28.369541,-81.407184,1440471.0,508907.0
4795 W Irlo Bronson Memorial Hwy,Kissimmee,Osceola,FL,28.331561,-81.471396,406943.0,131365.0
13658 University Plaza St,Tampa,Hillsborough,FL,28.071895,-82.428282,1489634.0,569998.0
5000 Grandview Pkwy,Davenport,Polk,FL,28.232819,-81.643913,760961.0,276643.0
900 E Lake Rd,Palm Harbor,Pinellas,FL,28.063326,-82.707556,960565.0,423242.0
4005 US Highway 98 N,Lakeland,Polk,FL,28.092393,-81.970917,760961.0,276643.0
6295 W Waters Ave,Tampa,Hillsborough,FL,28.027791,-82.54837,1489634.0,569998.0
11627 W Hillsborough Ave,Tampa,Hillsborough,FL,28.015839,-82.612749,1489634.0,569998.0
1544 N Dale Mabry Hwy,Tampa,Hillsborough,FL,27.957042,-82.508311,1489634.0,569998.0
2747 Gulf To Bay Blvd,Clearwater,Pinellas,FL,27.958182,-82.724497,960565.0,423242.0
3570 Harden Blvd,Lakeland,Polk,FL,28.000168,-81.972942,760961.0,276643.0
187 Brandon Town Center Dr,Brandon,Hillsborough,FL,27.936417,-82.323706,1489634.0,569998.0
3625 W Gandy Blvd,Tampa,Hillsborough,FL,27.894675,-82.504568,1489634.0,569998.0
10150 Bloomingdale Ave,Riverview,Hillsborough,FL,27.89536,-82.333087,1489634.0,569998.0
3055 Columbia Blvd,Titusville,Brevard,FL,28.551849,-80.840758,620533.0,251889.0
10500 Ulmerton Rd,Largo,Pinellas,FL,27.892652,-82.784993,960565.0,423242.0
8151 Dr Martin Luther King St N,Saint Petersburg,Pinellas,FL,27.846105,-82.644125,960565.0,423242.0
7150 US 19 N,Pinellas Park,Pinellas,FL,27.836842,-82.684696,960565.0,423242.0
4450 Park St N,Saint Petersburg,Pinellas,FL,27.812701,-82.755764,960565.0,423242.0
250 Crockett Blvd,Merritt Island,Brevard,FL,28.386689,-80.704665,620533.0,251889.0
8455 N Wickham Rd,Melbourne,Brevard,FL,28.228007,-80.720324,620533.0,251889.0
2750 W New Haven Ave,Melbourne Village,Brevard,FL,28.080003,-80.665964,620533.0,251889.0
6150 14th St W,Bradenton,Manatee,FL,27.432646,-82.577904,416020.0,168504.0
4305 Norfolk Pkwy,Melbourne,Brevard,FL,28.038122,-80.661401,620533.0,251889.0
101 N Cattlemen Rd,Sarasota,Sarasota,FL,27.387171,-82.457988,449011.0,205503.0
5350 Fruitville Rd,Sarasota,Sarasota,FL,27.336617,-82.46222,449011.0,205503.0
8401 S Tamiami Trl,Sarasota,Sarasota,FL,27.228133,-82.492189,449011.0,205503.0
4271 Tamiami Trl S,Venice,Sarasota,FL,27.051846,-82.390683,449011.0,205503.0
1400A Tamiami Trl,Port Charlotte,Charlotte,FL,27.013497,-82.142729,195083.0,87376.0
5800 20th St,Vero Beach,Indian River,FL,27.640415,-80.448042,163856.0,68696.0
10720 SW Village Pkwy,Port Saint Lucie,St. Lucie,FL,27.26994,-80.427047,346237.0,131640.0
1890 NE Pine Island Rd,Cape Coral,Lee,FL,26.669695,-81.932793,792692.0,319588.0
2650 NW Federal Hwy,Stuart,Martin,FL,27.23659,-80.271472,160464.0,67820.0
2430 Santa Barbara Blvd,Cape Coral,Lee,FL,26.606538,-81.976707,792692.0,319588.0
9350 Dynasty Dr,Fort Myers,Lee,FL,26.615149,-81.801196,792692.0,319588.0
13711 S Tamiami Trl,Fort Myers,Lee,FL,26.542519,-81.8687,792692.0,319588.0
15880 San Carlos Blvd,Fort Myers,Lee,FL,26.510365,-81.945624,792692.0,319588.0
10000 Gulf Center Dr,Fort Myers,Lee,FL,26.483591,-81.786526,792692.0,319588.0
8040 Mediterranean Dr,Estero,Lee,FL,26.406256,-81.806168,792692.0,319588.0
2415 Tarpon Bay Blvd,Naples,Collier,FL,26.270688,-81.740467,387681.0,160867.0
